Item,Binomial (Alphabetical),Sentence
1,abashed and sorry,He was abashed and sorry about his horrible behavior.
1,abashed and sorry,He was sorry and abashed about his horrible behavior.
2,abashed and sorry,"Kate had not studied much for the test, and was abashed and sorry about her performance."
2,abashed and sorry,"Kate had not studied much for the test, and was sorry and abashed about her performance."
3,abashed and sorry,The woman was abashed and sorry when she realized her mistake.
3,abashed and sorry,The woman was sorry and abashed when she realized her mistake.
4,actresses and lumberjacks,Sheila had become accustomed to seeing actresses and lumberjacks around town.
4,actresses and lumberjacks,Sheila had become accustomed to seeing lumberjacks and actresses around town.
5,actresses and lumberjacks,The number of actresses and lumberjacks living in this neighborhood never ceases to surprise me.
5,actresses and lumberjacks,The number of lumberjacks and actresses living in this neighborhood never ceases to surprise me.
6,actresses and lumberjacks,This bar is popular among the actresses and lumberjacks who live in the neighborhood.
6,actresses and lumberjacks,This bar is popular among the lumberjacks and actresses who live in the neighborhood.
7,address and name,"Mary needed the landlord's address and name before she could send her first rent check.		"
7,address and name,"Mary needed the landlord's name and address before she could send her first rent check.		"
8,address and name,The clerk asked for Melissa's address and name in order to complete the form.
8,address and name,The clerk asked for Melissa's name and address in order to complete the form.
9,address and name,"The post office was not sure what to do with the child's letter, as the address and name were both illegible."
9,address and name,"The post office was not sure what to do with the child's letter, as the name and address were both illegible."
10,alive and well,Deborah's grandmother was alive and well despite having a heart attack at 78 years old.
10,alive and well,Deborah's grandmother was well and alive despite having a heart attack at 78 years old.
11,alive and well,Sarah was relieved to find that her friends were alive and well after the car crash.
11,alive and well,Sarah was relieved to find that her friends were well and alive after the car crash.
12,alive and well,Shima was finally feeling alive and well again after being sick for the past week.
12,alive and well,Shima was finally feeling well and alive again after being sick for the past week.
13,allergic and unaccustomed,"Because Jim was allergic and unaccustomed to elderberries, he was careful to avoid them."
13,allergic and unaccustomed,"Because Jim was unaccustomed and allergic to elderberries, he was careful to avoid them."
14,allergic and unaccustomed,"It was unfortunate that Jeffrey was allergic and unaccustomed to the weather in the city, as he had been looking forward to the trip."
14,allergic and unaccustomed,"It was unfortunate that Jeffrey was unaccustomed and allergic to the weather in the city, as he had been looking forward to the trip."
15,allergic and unaccustomed,Jack guessed that he must be allergic and unaccustomed to something in this new climate and resolved never to travel again.
15,allergic and unaccustomed,Jack guessed that he must be unaccustomed and allergic to something in this new climate and resolved never to travel again.
16,annoying and teal,"Since moving into the new house, the man has been plagued by an annoying and teal bird that causes a racket in the mornings."
16,annoying and teal,"Since moving into the new house, the man has been plagued by an teal and annoying bird that causes a racket in the mornings."
17,annoying and teal,The snobby neighborhood thought that the annoying and teal house on the corner should be repainted.
17,annoying and teal,The snobby neighborhood thought that the teal and annoying house on the corner should be repainted.
209,annoying and teal,My cousin's new talking and singing toy is annoying and teal according to my aunt.
209,annoying and teal,My cousin's new talking and singing toy is teal and annoying according to my aunt.
18,arts and sciences,"Jessica couldn't decide between studying arts and sciences in college, so she studied both."
18,arts and sciences,"Jessica couldn't decide between studying sciences and arts in college, so she studied both."
19,arts and sciences,Joseph had a keen interest in both the arts and sciences developed in ancient Rome.
19,arts and sciences,Joseph had a keen interest in both the sciences and arts developed in ancient Rome.
20,arts and sciences,Most universities have programs in the arts and sciences in addition to having various professional schools.
20,arts and sciences,Most universities have programs in the sciences and arts in addition to having various professional schools.
21,backwards and forwards,Soccer players practice running both backwards and forwards in order to stay nimble.
21,backwards and forwards,Soccer players practice running both forwards and backwards in order to stay nimble.
22,backwards and forwards,"The driver had to move backwards and forwards many times to get the large truck into the parking spot properly.		"
22,backwards and forwards,"The driver had to move forwards and backwards many times to get the large truck into the parking spot properly.		"
23,backwards and forwards,"The little girl rocked backwards and forwards on the swing at the park.		"
23,backwards and forwards,"The little girl rocked forwards and backwards on the swing at the park.		"
24,bacteria and candy,All that was left of the girl's Halloween candy was a mess of bacteria and candy after the dog got into her bag.
24,bacteria and candy,All that was left of the girl's Halloween candy was a mess of candy and bacteria after the dog got into her bag.
25,bacteria and candy,Leah reached into the bowl of bacteria and candy as she sat in the doctor's office waiting room.
25,bacteria and candy,Leah reached into the bowl of candy and bacteria as she sat in the doctor's office waiting room.
26,bacteria and candy,The dentist told Sally that bacteria and candy would rot her teeth.
26,bacteria and candy,The dentist told Sally that candy and bacteria would rot her teeth.
27,beautiful and stinky,The doll was beautiful and stinky after Jenny pulled it out of the trash.
27,beautiful and stinky,The doll was stinky and beautiful after Jenny pulled it out of the trash.
28,beautiful and stinky,The elephants at the zoo were beautiful and stinky so the children loved them.
28,beautiful and stinky,The elephants at the zoo were stinky and beautiful so the children loved them.
29,beautiful and stinky,The gardener was dismayed to learn that he had planted some flowers that were both beautiful and stinky alongside the rest of his plants.
29,beautiful and stinky,The gardener was dismayed to learn that he had planted some flowers that were both stinky and beautiful alongside the rest of his plants.
30,bicycles and robots,Dave was always building bicycles and robots when he was younger.
30,bicycles and robots,Dave was always building robots and bicycles when he was younger.
31,bicycles and robots,The boy put bicycles and robots on his Christmas list this year.
31,bicycles and robots,The boy put robots and bicycles on his Christmas list this year.
32,bicycles and robots,The engineer specialized in making bicycles and robots when he worked for the company.
32,bicycles and robots,The engineer specialized in making robots and bicycles when he worked for the company.
33,bishops and seamstresses,The town square was full of bishops and seamstresses at the time of the festival.
33,bishops and seamstresses,The town square was full of seamstresses and bishops at the time of the festival.
34,bishops and seamstresses,There was a huge increase in transactions between bishops and seamstresses in the weeks prior to the ceremony.
34,bishops and seamstresses,There was a huge increase in transactions between seamstresses and bishops in the weeks prior to the ceremony.
35,bishops and seamstresses,There were many bishops and seamstresses in the small town where I grew up.
35,bishops and seamstresses,There were many seamstresses and bishops in the small town where I grew up.
36,bitter and purple,I was unwilling to drink the juice that was bitter and purple despite my personal trainer's insistences.
36,bitter and purple,I was unwilling to drink the juice that was purple and bitter despite my personal trainer's insistences.
37,bitter and purple,The berries were bitter and purple when I ate them this morning.
37,bitter and purple,The berries were purple and bitter when I ate them this morning.
38,bitter and purple,The fruit looked delicious but it turned out to be bitter and purple after I took a bite.
38,bitter and purple,The fruit looked delicious but it turned out to be purple and bitter after I took a bite.
39,blankets and kittens,Jean likes snuggling with her blankets and kittens while she reads a book.
39,blankets and kittens,Jean likes snuggling with her kittens and blankets while she reads a book.
40,blankets and kittens,Seth told me that there are blankets and kittens in that box over there.
40,blankets and kittens,Seth told me that there are kittens and blankets in that box over there.
41,blankets and kittens,There was a giant heap of blankets and kittens in the middle of the living room floor.
41,blankets and kittens,There was a giant heap of kittens and blankets in the middle of the living room floor.
42,body and mind,"A professional athlete must train both body and mind in order to not only perform well, but also be able to do so under stress. 		"
42,body and mind,"A professional athlete must train both mind and body in order to not only perform well, but also be able to do so under stress. 		"
43,body and mind,Learning to strengthen your body and mind is one of main purposes of doing yoga.
43,body and mind,Learning to strengthen your mind and body is one of main purposes of doing yoga.
44,body and mind,"Seth wanted to relax both his body and mind before taking the final.		"
44,body and mind,"Seth wanted to relax both his mind and body before taking the final.		"
45,bride and groom,John showed me pictures of the bride and groom both dressed in blue.
45,bride and groom,John showed me pictures of the groom and bride both dressed in blue.
46,bride and groom,"They had a long engagement, so the bride and groom were excited that it was finally their wedding day."
46,bride and groom,"They had a long engagement, so the groom and bride were excited that it was finally their wedding day."
47,bride and groom,"When the band played them a demo of the song they wanted, the bride and groom decided to look for a different one."
47,bride and groom,"When the band played them a demo of the song they wanted, the groom and bride decided to look for a different one."
48,brothers and sisters,"Andrew had always shared his room with his brothers and sisters, so he was excited to have a new roommate in college.		"
48,brothers and sisters,"Andrew had always shared his room with his sisters and brothers, so he was excited to have a new roommate in college.		"
49,brothers and sisters,I always love seeing my brothers and sisters when I go home for the holidays.
49,brothers and sisters,I always love seeing my sisters and brothers when I go home for the holidays.
50,brothers and sisters,"The oldest son in the large family was often overwhelmed by his brothers and sisters when he was made to babysit.		"
