Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List,RelFreq,GenPref,target_freq,prime_freq
21,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,Sentence (nonalphabetical),+ The hostess in the venue lead the ladies and gentlemen to their respective tables.,nonalphabetical,The event was attended by both ladies and gentlemen dressed in elegant attire.,audio/prime_nonalpha/The_event_was_attended_by_both_ladies_and_gentlemen_dressed_in_elegant_attire.wav,4,2,-0.40864716032,0.5176318827,frequent,frequent
19,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,Sentence (nonalphabetical),"+ Growing up, Paul ate his vegetables and fruits everyday at each meal.",alphabetical,A healthy diet includes a balance of fruits and vegetables for essential nutrients.,audio/prime_alpha/A_healthy_diet_includes_a_balance_of_fruits_and_vegetables_for_essential_nutrients.wav,2,2,0.3501050683,0.6085325242,not-frequent,frequent
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,Sentence (alphabetical),+ Although Rhonda was not Nick's blood and flesh he considered her family.,unrelated,"With a deep breath, she stepped onto the stage, her heart pounding in her chest.","audio/prime_unrelated/With_a_deep_breath,_she_stepped_onto_the_stage,_her_heart_pounding_in_her_chest.wav",5,2,-0.47360396965,0.469076088,not-frequent,unrelated
15,father and son,father,son,Does Eric hate movies?,n,Sentence (alphabetical),+ Eric enjoys watching movies with his father and son so much that he goes often.,unrelated,"The dog wagged its tail eagerly, hoping for a treat.","audio/prime_unrelated/The_dog_wagged_its_tail_eagerly,_hoping_for_a_treat.wav",5,2,0.4679236355000001,0.5278980018,frequent,unrelated
30,place and time,place,time,Was it easy to plan the meeting?,n,Sentence (nonalphabetical),+ Finding a time and place for the meeting was very difficult.,unrelated,"A gentle breeze rustled the leaves, carrying the scent of jasmine through the air.","audio/prime_unrelated/A_gentle_breeze_rustled_the_leaves,_carrying_the_scent_of_jasmine_through_the_air.wav",6,2,-0.3613230549,0.5553675804,frequent,unrelated
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (nonalphabetical),+ Jessica couldn't decide between studying sciences and arts at her time in  college.,unrelated,"The library was silent, except for the occasional sound of pages turning.","audio/prime_unrelated/The_library_was_silent,_except_for_the_occasional_sound_of_pages_turning.wav",6,2,0.4544574614,0.4933750742,not-frequent,unrelated
12,development and research,development,research,Did Emily stay in her field?,n,Sentence (alphabetical),+ Emily was in development and research but eventually decided to leave.,nonalphabetical,Many years of research and development went into the company's new product.,audio/prime_nonalpha/Many_years_of_research_and_development_went_into_the_companys_new_product.wav,3,2,-0.48074983772,0.2293127498,not-frequent,frequent
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,unrelated,"She took a long walk through the city, marveling at the towering skyscrapers.","audio/prime_unrelated/She_took_a_long_walk_through_the_city,_marveling_at_the_towering_skyscrapers.wav",6,2,0.4852172766,0.8870848891,not-frequent,unrelated
27,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,Sentence (alphabetical),+ The couple call each other mr. and mrs. Smith even though they aren't married.,unrelated,"They watched the fireworks explode in the night sky, their faces lit up with excitement.","audio/prime_unrelated/They_watched_the_fireworks_explode_in_the_night_sky,_their_faces_lit_up_with_excitement.wav",5,2,0.4980908174000001,0.6408346416,frequent,unrelated
25,men and women,men,women,Were the people in Jen's dance class talented?,y,Sentence (nonalphabetical),+ Jen thought that the women and men in her dance class were all very talented.,unrelated,"The cafe was cozy, with soft music playing and the smell of fresh pastries in the air.","audio/prime_unrelated/The_cafe_was_cozy,_with_soft_music_playing_and_the_smell_of_fresh_pastries_in_the_air.wav",6,2,0.4064281412,0.7288977898,not-frequent,unrelated
