Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,TargetSentence,PrimeType,Prime,FilenamePrime,Condition,List
21,gas and oil,gas,oil,Is Sam uneducated about cars?,y,nonalphabetical,+ Sam didn't know the difference between gas and oil so she ruined her car.,nonalphabetical,The economy in this region is heavily dependent on oil and gas production.,../audio/prime_nonalpha/The_economy_in_this_region_is_heavily_dependent_on_oil_and_gas_production.wav,3,5
25,husband and wife,husband,wife,Was Michelle surprised by what he learned?,y,unrelated,+ Michelle was surprised to learn that the husband and wife were getting a divorce.,unrelated,The old house creaked and groaned with every gust of wind.,../audio/prime_unrelated/The_old_house_creaked_and_groaned_with_every_gust_of_wind.wav,5,5
33,pepper and salt,pepper,salt,Is the food bland?,y,nonalphabetical,+ The food is in need of pepper and salt because it's rather bland.,nonalphabetical,She added just a pinch of salt and pepper to bring out the flavors of the dish.,../audio/prime_nonalpha/She_added_just_a_pinch_of_salt_and_pepper_to_bring_out_the_flavors_of_the_dish.wav,3,5
8,brothers and sisters,brothers,sisters,Does Andrew live alone?,n,nonalphabetical,"+ Andrew shared with his sisters and brothers, so he was excited to have a roomate.",nonalphabetical,I always love seeing my sisters and brothers when I go home for the holidays.,../audio/prime_nonalpha/I_always_love_seeing_my_sisters_and_brothers_when_I_go_home_for_the_holidays.wav,4,5
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,nonalphabetical,+ Lilly enjoys doing crafts and arts to relax when she is stressed.,nonalphabetical,Crafts and arts are a wonderful way to express creativity through handmade projects.,../audio/prime_nonalpha/Crafts_and_arts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,4,5
1,arms and legs,arms,legs,Did Sandra get into a bike accident?,y,unrelated,+ Sandra broke her arms and legs because she got into a bike accident.,unrelated,"The sun dipped below the horizon, painting the sky in shades of orange and pink.","../audio/prime_unrelated/The_sun_dipped_below_the_horizon,_painting_the_sky_in_shades_of_orange_and_pink.wav",5,5
26,law and order,law,order,Was there chaos?,n,nonalphabetical,+ There was a lack of order and law that caused some chaos.,nonalphabetical,The mayor promised to restore order and law to the troubled neighborhoods.,../audio/prime_nonalpha/The_mayor_promised_to_restore_order_and_law_to_the_troubled_neighborhoods.wav,4,5
34,place and time,place,time,Was it easy to plan the meeting?,n,alphabetical,+ Finding a time and place for the meeting was very difficult.,alphabetical,Success in art depends on the right combination of place and time.,../audio/prime_alpha/Success_in_art_depends_on_the_right_combination_of_place_and_time.wav,2,5
10,days and nights,days,nights,Did Finn easily write his novel?,n,alphabetical,+ Finn spent many nights and days working on writing his novel.,alphabetical,The desert's harshness is evident in the extreme days and nights.,../audio/prime_alpha/The_desert's_harshness_is_evident_in_the_extreme_days_and_nights.wav,2,5
17,feelings and thoughts,feelings,thoughts,Does get confused when she's frustrated?,y,alphabetical,"+ Whenever Pat was frustrated, her feelings and thoughts got muddled.",alphabetical,Poetry often tries to capture the subtle interplay of feelings and thoughts.,../audio/prime_alpha/Poetry_often_tries_to_capture_the_subtle_interplay_of_feelings_and_thoughts.wav,1,5
