Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List
21,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,Sentence (alphabetical),+ The hostess in the venue lead the gentlemen and ladies to their respective tables.,alphabetical,The event was attended by both gentlemen and ladies dressed in elegant attire.,audio/prime_alpha/The_event_was_attended_by_both_gentlemen_and_ladies_dressed_in_elegant_attire.wav,1,5
19,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,Sentence (alphabetical),"+ Growing up, Paul ate his fruits and vegetables everyday at each meal.",nonalphabetical,A healthy diet includes a balance of vegetables and fruits for essential nutrients.,audio/prime_nonalpha/A_healthy_diet_includes_a_balance_of_vegetables_and_fruits_for_essential_nutrients.wav,3,5
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,Sentence (alphabetical),+ Although Rhonda was not Nick's blood and flesh he considered her family.,unrelated,"With a deep breath, she stepped onto the stage, her heart pounding in her chest.","audio/prime_unrelated/With_a_deep_breath,_she_stepped_onto_the_stage,_her_heart_pounding_in_her_chest.wav",5,5
15,father and son,father,son,Does Eric hate movies?,n,Sentence (alphabetical),+ Eric enjoys watching movies with his father and son so much that he goes often.,alphabetical,The bond between father and son grew deeper with each passing year.,audio/prime_alpha/The_bond_between_father_and_son_grew_deeper_with_each_passing_year.wav,1,5
30,place and time,place,time,Was it easy to plan the meeting?,n,Sentence (nonalphabetical),+ Finding a time and place for the meeting was very difficult.,nonalphabetical,Success in art depends on the right combination of time and place.,audio/prime_nonalpha/Success_in_art_depends_on_the_right_combination_of_time_and_place.wav,4,5
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (alphabetical),+ Jessica couldn't decide between studying arts and sciences at her time in college.,alphabetical,A well-rounded education often includes a balance of arts and sciences.,audio/prime_alpha/A_well-rounded_education_often_includes_a_balance_of_arts_and_sciences.wav,1,5
12,development and research,development,research,Did Emily stay in her field?,n,Sentence (nonalphabetical),+ Emily was in research and development but eventually decided to leave.,nonalphabetical,Many years of research and development went into the company's new product.,audio/prime_nonalpha/Many_years_of_research_and_development_went_into_the_companys_new_product.wav,4,5
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,nonalphabetical,The mayor promised to restore order and law to the troubled neighborhoods.,audio/prime_nonalpha/The_mayor_promised_to_restore_order_and_law_to_the_troubled_neighborhoods.wav,4,5
27,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,Sentence (alphabetical),+ The couple call each other mr. and mrs. Smith even though they aren't married.,alphabetical,"The invitation was addressed to Mr. and Mrs. Peterson, inviting them to the gala.","audio/prime_alpha/The_invitation_was_addressed_to_Mr_and_Mrs_Peterson,_inviting_them_to_the_gala.wav",1,5
25,men and women,men,women,Were the people in Jen's dance class talented?,y,Sentence (alphabetical),+ Jen thought that the men and women in her dance class were all very talented.,nonalphabetical,The disparity between the wages of men and women in the workforce is a major concern for many.,audio/prime_nonalpha/The_disparity_between_the_wages_of_men_and_women_in_the_workforce_is_a_major_concern_for_many.wav,3,5
26,money and time,money,time,Was it an easy project?,n,Sentence (nonalphabetical),+ The amount of time and money required to fix it made it quite the project.,alphabetical,Managing money and time effectively is key to achieving financial goals.,audio/prime_alpha/Managing_money_and_time_effectively_is_key_to_achieving_financial_goals.wav,2,5
7,brother and sister,brother,sister,Are Paul's siblings cool?,y,Sentence (alphabetical),+ Paul wants to spend time with his brother and sister because they are cool.,nonalphabetical,The sister and brother shared a bond that no distance could weaken.,audio/prime_nonalpha/The_sister_and_brother_shared_a_bond_that_no_distance_could_weaken.wav,3,5
23,husband and wife,husband,wife,Was Michelle surprised by what he learned?,y,Sentence (alphabetical),+ Michelle was surprised to learn that the husband and wife were getting a divorce.,unrelated,The old house creaked and groaned with every gust of wind.,audio/prime_unrelated/The_old_house_creaked_and_groaned_with_every_gust_of_wind.wav,5,5
28,north and south,north,south,Did the family stay in the same place?,n,Sentence (nonalphabetical),+ The family moved south and north a couple of times.,unrelated,The antique store was filled with treasures from a bygone era.,audio/prime_unrelated/The_antique_store_was_filled_with_treasures_from_a_bygone_era.wav,6,5
13,error and trial,error,trial,Was Hal still stuck on the math problem?,n,Sentence (alphabetical),+ Hal solved the math problem by error and trial because he was lazy.,nonalphabetical,Sometimes it feels like error and trial is the only way to learn.,audio/prime_nonalpha/Sometimes_it_feels_like_error_and_trial_is_the_only_way_to_learn.wav,3,5
4,black and white,black,white,Do Dalmations usually come in many different colors?,n,Sentence (nonalphabetical),+ Dalmatians found in colors other than white and black are really quite unusual.,unrelated,"He watched the rain tap against the window, lost in thought.","audio/prime_unrelated/He_watched_the_rain_tap_against_the_window,_lost_in_thought.wav",6,5
1,arms and legs,arms,legs,Did Sandra get into a bike accident?,y,Sentence (alphabetical),+ Sandra broke her arms and legs because she got into a bike accident.,nonalphabetical,When he gets upset he crosses his legs and arms in a very tense manner.,audio/prime_nonalpha/When_he_gets_upset_he_crosses_his_legs_and_arms_in_a_very_tense_manner.wav,3,5
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (nonalphabetical),+ Lilly enjoys doing crafts and arts to relax when she is stressed.,alphabetical,Arts and crafts are a wonderful way to express creativity through handmade projects.,audio/prime_alpha/Arts_and_crafts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,2,5
22,goods and services,goods,services,Were the village people willing to trade?,n,Sentence (nonalphabetical),+ They would not trade services and goods even for a large sum of money.,unrelated,"They toasted to friendship, clinking their glasses in celebration.","audio/prime_unrelated/They_toasted_to_friendship,_clinking_their_glasses_in_celebration.wav",6,5
