Item,Binomial (Alphabetical),Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
1,20s and 30s,Amy said she enjoyed her 20s and 30s because she was able to travel the world.,Amy said she enjoyed her 30s and 20s because she was able to travel the world.,test sentence,test sentence2,Stimuli/all_parts_combined_I_set_up_the_tent_before_the_sun_went_down_.wav,placeholder question
2,abasement and humiliation,"Jenny was subjected to abasement and humiliation at school, which made her want to leave.","Jenny was subjected to humiliation and abasement at school, which made her want to leave.",test sentence,test sentence2,Stimuli/all_parts_combined_He_grabbed_the_phone_and_answered_the_call.wav,placeholder question
3,abashed and sorry,He was abashed and sorry about his horrible behavior.,He was sorry and abashed about his horrible behavior.,test sentence,test sentence2,Stimuli/all_parts_combined_They_made_up_after_their_argument_and_became_friends_again_.wav,placeholder question
4,abashed and sorry,"Kate had not studied much for the test, and was abashed and sorry about her performance.","Kate had not studied much for the test, and was sorry and abashed about her performance.",test sentence,test sentence2,Stimuli/all_parts_combined_She_examined_the_definition_of_the_word_in_the_dictionary_.wav,placeholder question
5,abashed and sorry,The woman was abashed and sorry when she realized her mistake.,The woman was sorry and abashed when she realized her mistake.,test sentence,test sentence2,Stimuli/all_parts_combined_Don_t_give_up_your_dreams__keep_working_towards_them_.wav,placeholder question
6,ability and age,"They questioned his ability and age in the interview, which he thought was unfair.","They questioned his age and ability in the interview, which he thought was unfair.",test sentence,test sentence2,Stimuli/all_parts_combined_We_need_to_create_a_plan_for_the_project_.wav,placeholder question
7,ability and desire,Maddie had both the ability and desire to play college-level soccer.,Maddie had both the desire and ability to play college-level soccer.,test sentence,test sentence2,Stimuli/all_parts_combined_I_got_up_early_to_catch_the_sunrise_.wav,placeholder question
8,ability and strength,Lisa had the ability and strength to become a professional athlete.,Lisa had the strength and ability to become a professional athlete.,test sentence,test sentence2,Stimuli/all_parts_combined_She_stood_and_applauded_at_the_end_of_the_performance_.wav,placeholder question
9,abolition and emancipation,They learned about abolition and emancipation in their history class.,They learned about emancipation and abolition in their history class.,test sentence,test sentence2,Stimuli/all_parts_combined_He_decided_to_start_playing_the_guitar_as_a_hobby_.wav,placeholder question
10,action and character,Riley thought his lack of action and character was too significant to overlook.,Riley thought his lack of character and action was too significant to overlook.,test sentence,test sentence2,Stimuli/all_parts_combined_Despite_the_challenges__we_will_all_end_up_succeeding_in_our_endeavors_.wav,placeholder question
11,action and conversation,There was action and conversation occurring in every scene of the movie.,There was conversation and action occurring in every scene of the movie.,test sentence,test sentence2,Stimuli/all_parts_combined_I_was_born_in_a_small_town_in_the_countryside_.wav,placeholder question
12,action and motion,All of the action and motion in the 3D film made some viewers dizzy.,All of the motion and action in the 3D film made some viewers dizzy.,test sentence,test sentence2,Stimuli/all_parts_combined_We_put_up_a_sign_to_advertise_the_garage_sale_.wav,placeholder question
13,actions and feelings,He was confused because her actions and feelings were not matching up.,He was confused because her feelings and actions were not matching up.,test sentence,test sentence2,Stimuli/all_parts_combined_The_prices_went_up_after_the_sale_ended_.wav,placeholder question
14,activities and character,They questioned her activities and character for no good reason.,They questioned her character and activities for no good reason.,test sentence,test sentence2,Stimuli/all_parts_combined_She_mentioned_an_interesting_topic_during_the_discussion_.wav,placeholder question
15,activities and places,The many activities and places available to Ronnie meant that he was never bored.,The many places and activities available to Ronnie meant that he was never bored.,test sentence,test sentence2,Stimuli/all_parts_combined_He_caught_up_with_his_friends_after_being_away_for_a_month_.wav,placeholder question
16,activity and nature,"Timothy thought that he didn't have enough activity and nature in his life, so he decided to get out more.","Timothy thought that he didn't have enough nature and activity in his life, so he decided to get out more.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_keep_reading_the_latest_news_and_updates_.wav,placeholder question
17,actresses and lumberjacks,Sheila had become accustomed to seeing actresses and lumberjacks around town.,Sheila had become accustomed to seeing lumberjacks and actresses around town.,test sentence,test sentence2,Stimuli/all_parts_combined_The_traffic_delayed_our_arrival_to_the_party_.wav,placeholder question
18,actresses and lumberjacks,The number of actresses and lumberjacks living in this neighborhood never ceases to surprise me.,The number of lumberjacks and actresses living in this neighborhood never ceases to surprise me.,test sentence,test sentence2,Stimuli/all_parts_combined_We_expected_him_to_show_up__but_he_never_came_.wav,placeholder question
19,actresses and lumberjacks,This bar is popular among the actresses and lumberjacks who live in the neighborhood.,This bar is popular among the lumberjacks and actresses who live in the neighborhood.,test sentence,test sentence2,Stimuli/all_parts_combined_I_need_to_arrive_early_tomorrow_for_an_important_meeting_.wav,placeholder question
20,address and name,Mary needed the landlord's address and name before she could send her first rent check.,Mary needed the landlord's name and address before she could send her first rent check.,test sentence,test sentence2,Stimuli/all_parts_combined_Over_the_years__they_built_up_a_successful_business_.wav,placeholder question
21,address and name,The clerk asked for Melissa's address and name in order to complete the form.,The clerk asked for Melissa's name and address in order to complete the form.,test sentence,test sentence2,Stimuli/all_parts_combined_Please_be_quiet_and_let_me_finish_my_sentence.wav,placeholder question
22,address and name,"The post office was not sure what to do with the child's letter, as the address and name were both illegible.","The post office was not sure what to do with the child's letter, as the name and address were both illegible.",test sentence,test sentence2,Stimuli/all_parts_combined_She_hung_up_the_phone_and_sighed_in_frustration_.wav,placeholder question
23,addresses and names,The company collected hundreds of addresses and names for a petition they wanted to pass in June.,The company collected hundreds of names and addresses for a petition they wanted to pass in June.,test sentence,test sentence2,Stimuli/all_parts_combined_She_helped_the_girl_so_she_d_stop_crying.wav,placeholder question
