Item,Binomial (Alphabetical),Questions,Sentence Type,Sentence,Prime Type,audio,condition,list
2,abashed and sorry,placeholder question,Sentence (nonalphabetical),"Kate had not studied much for the test, and was sorry and abashed about her performance.",Prime (unrelated),Stimuli/all_parts_combined_He_grabbed_the_phone_and_answered_the_call.wav,6,1
4,actresses and lumberjacks,placeholder question,Sentence (alphabetical),Sheila had become accustomed to seeing actresses and lumberjacks around town.,Prime (unrelated),Stimuli/all_parts_combined_She_examined_the_definition_of_the_word_in_the_dictionary_.wav,5,1
7,address and name,placeholder question,Sentence (alphabetical),Mary needed the landlord's address and name before she could send her first rent check.,Prime (unrelated),Stimuli/all_parts_combined_I_got_up_early_to_catch_the_sunrise_.wav,5,1
8,address and name,placeholder question,Sentence (alphabetical),The clerk asked for Melissa's address and name in order to complete the form.,Prime (unrelated),Stimuli/all_parts_combined_She_stood_and_applauded_at_the_end_of_the_performance_.wav,5,1
9,address and name,placeholder question,Sentence (alphabetical),"The post office was not sure what to do with the child's letter, as the address and name were both illegible.",Prime (unrelated),Stimuli/all_parts_combined_He_decided_to_start_playing_the_guitar_as_a_hobby_.wav,5,1
10,alive and well,placeholder question,Sentence (nonalphabetical),Deborah's grandmother was well and alive despite having a heart attack at 78 years old.,Prime (unrelated),Stimuli/all_parts_combined_Despite_the_challenges__we_will_all_end_up_succeeding_in_our_endeavors_.wav,6,1
12,alive and well,placeholder question,Sentence (nonalphabetical),Shima was finally feeling well and alive again after being sick for the past week.,Prime (unrelated),Stimuli/all_parts_combined_We_put_up_a_sign_to_advertise_the_garage_sale_.wav,6,1
18,arts and sciences,placeholder question,Sentence (alphabetical),"Jessica couldn't decide between studying arts and sciences in college, so she studied both.",Prime (unrelated),Stimuli/all_parts_combined_I_need_to_arrive_early_tomorrow_for_an_important_meeting_.wav,5,1
19,arts and sciences,placeholder question,Sentence (nonalphabetical),Joseph had a keen interest in both the sciences and arts developed in ancient Rome.,Prime (unrelated),Stimuli/all_parts_combined_Over_the_years__they_built_up_a_successful_business_.wav,6,1
20,arts and sciences,placeholder question,Sentence (nonalphabetical),Most universities have programs in the sciences and arts in addition to having various professional schools.,Prime (unrelated),Stimuli/all_parts_combined_Please_be_quiet_and_let_me_finish_my_sentence.wav,6,1
21,backwards and forwards,placeholder question,Sentence (alphabetical),Soccer players practice running both backwards and forwards in order to stay nimble.,Prime (unrelated),Stimuli/all_parts_combined_She_hung_up_the_phone_and_sighed_in_frustration_.wav,5,1
24,bacteria and candy,placeholder question,Sentence (nonalphabetical),All that was left of the girl's Halloween candy was a mess of candy and bacteria after the dog got into her bag.,Prime (unrelated),Stimuli/all_parts_combined_The_contract_was_revised_and_signed_by_both_parties_.wav,6,1
25,bacteria and candy,placeholder question,Sentence (alphabetical),Leah reached into the bowl of bacteria and candy as she sat in the doctor's office waiting room.,Prime (unrelated),Stimuli/all_parts_combined_He_pulled_up_a_chair_and_joined_the_conversation_.wav,5,1
27,beautiful and stinky,placeholder question,Sentence (nonalphabetical),The doll was stinky and beautiful after Jenny pulled it out of the trash.,Prime (unrelated),Stimuli/all_parts_combined_I_walked_up_the_stairs_to_reach_the_top_floor_.wav,6,1
33,bishops and seamstresses,placeholder question,Sentence (alphabetical),The town square was full of bishops and seamstresses at the time of the festival.,Prime (unrelated),Stimuli/all_parts_combined_The_fireworks_lit_the_night_sky_with_vibrant_colors_.wav,5,1
