Item,List,Condition,WordA,WordB,Binomial,PrimeType,Prime,Sentence,SentenceType,Questions,Answer,OverallAcc,correct,prime_freq,target_freq
1,2,6,arms,legs,arms and legs,unrelated,"The sun dipped below the horizon, painting the sky in shades of orange and pink.",+ Sandra broke her legs and arms because she got into a bike accident.,Sentence (nonalphabetical),Did Sandra get into a bike accident?,y,0.8,1,unrelated,not-frequent
2,2,5,arts,crafts,arts and crafts,unrelated,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.",+ Lilly enjoys doing arts and crafts to relax when she is stressed.,Sentence (alphabetical),Does Lilly enjoy run when she's stressed?,n,0.8,1,unrelated,frequent
3,2,4,arts,sciences,arts and sciences,nonalphabetical,A well-rounded education often includes a balance of sciences and arts.,+ Jessica couldn't decide between studying sciences and arts in college.,Sentence (nonalphabetical),Did Jessica plan on going to college?,y,0.8,1,not-frequent,not-frequent
4,2,3,black,white,black and white,nonalphabetical,"The film is shot entirely in white and black, giving it a timeless quality.",+ Dalmatians found in colors other than black and white are highly unusual.,Sentence (alphabetical),Do Dalmations usually come in many different colors?,n,0.8,1,not-frequent,frequent
5,2,2,blood,flesh,blood and flesh,alphabetical,"The battle left marks of blood and flesh on the ground, a grim reminder of its toll.",+ Although Rhonda was not Nick's flesh and blood he considered her family.,Sentence (nonalphabetical),Did Nick consider Rhonda to be family?,y,0.8,1,not-frequent,frequent
6,4,3,boys,girls,boys and girls,nonalphabetical,Girls and boys eagerly gathered around the storyteller for an afternoon of tales.,+ The teacher separated the boys and girls into two groups.,Sentence (alphabetical),Did the teacher separate the students into many groups?,n,0.7666666666666667,1,not-frequent,frequent
7,2,6,brother,sister,brother and sister,unrelated,"The cat curled up on the windowsill, basking in a patch of warm sunlight.",+ Paul wants to spend time with his sister and brother because they're cool.,Sentence (nonalphabetical),Are Paul's siblings cool?,y,0.8,1,unrelated,not-frequent
8,2,5,brothers,sisters,brothers and sisters,unrelated,"They exchanged a knowing glance, each understanding the other's unspoken thoughts.","+ Andrew shared with his brothers and sisters, so he was excited to have a roomate.",Sentence (alphabetical),Does Andrew live alone?,n,0.8,1,unrelated,frequent
9,2,4,cause,effect,cause and effect,nonalphabetical,The gathering was filled with laughter from sisters and brothers catching up after a long time apart.,"+ Ryan was uncertain about the effect and cause of inflation, so he did some research.",Sentence (nonalphabetical),Did Ryan research about inflation?,y,0.8,1,not-frequent,not-frequent
10,2,3,days,nights,days and nights,nonalphabetical,The desert's harshness is evident in the extreme nights and days.,+ Finn spent many days and nights working on writing his novel.,Sentence (alphabetical),Did Finn easily write his novel?,n,0.8,1,not-frequent,frequent
11,2,2,death,life,death and life,alphabetical,"In many cultures, death and life are seen as intertwined parts of a greater cycle.",+ It is hard to tell the difference between life and death when you are in purgatory.,Sentence (nonalphabetical),Is it hard to tell one's circumstances in purgatory?,y,0.8,1,not-frequent,frequent
12,2,1,development,research,development and research,alphabetical,Many years of development and research went into the company's new product.,+ Emily was in development and research but eventually decided to leave.,Sentence (alphabetical),Did Emily stay in her field?,n,0.8,1,not-frequent,not-frequent
13,2,6,error,trial,error and trial,unrelated,"The aroma of freshly baked bread drifted from the kitchen, inviting everyone inside.",+ Hal solved the math problem by trial and error because he was lazy.,Sentence (nonalphabetical),Was Hal still stuck on the math problem?,n,0.8,1,unrelated,frequent
14,2,5,fall,rise,fall and rise,unrelated,"She gazed out at the ocean, mesmerized by the endless waves crashing against the shore.",+ I've gotten particularly ill due to the fall and rise of the waves.,Sentence (alphabetical),Was the narrator sick because of the waves?,y,0.8,1,unrelated,not-frequent
15,2,4,father,son,father and son,nonalphabetical,The bond between son and father grew deeper with each passing year.,+ Eric enjoys going to the movies with his son and father so much.,Sentence (nonalphabetical),Does Eric hate movies?,n,0.8,1,not-frequent,not-frequent
