Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List
21,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,Sentence (nonalphabetical),+ The hostess in the venue lead the ladies and gentlemen to their respective tables.,unrelated,"The snow covered the town in a blanket of white, transforming it into a winter wonderland.","audio/prime_unrelated/The_snow_covered_the_town_in_a_blanket_of_white,_transforming_it_into_a_winter_wonderland.wav",6,4
19,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,Sentence (nonalphabetical),"+ Growing up, Paul ate his vegetables and fruits everyday at each meal.",alphabetical,A healthy diet includes a balance of fruits and vegetables for essential nutrients.,audio/prime_alpha/A_healthy_diet_includes_a_balance_of_fruits_and_vegetables_for_essential_nutrients.wav,2,4
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,Sentence (nonalphabetical),+ Although Rhonda was not Nick's flesh and blood he considered her family.,nonalphabetical,"The battle left marks of flesh and blood on the ground, a grim reminder of its toll.","audio/prime_nonalpha/The_battle_left_marks_of_flesh_and_blood_on_the_ground,_a_grim_reminder_of_its_toll.wav",4,4
15,father and son,father,son,Does Eric hate movies?,n,Sentence (nonalphabetical),+ Eric enjoys watching movies with his son and father so much that he goes often.,unrelated,"The dog wagged its tail eagerly, hoping for a treat.","audio/prime_unrelated/The_dog_wagged_its_tail_eagerly,_hoping_for_a_treat.wav",6,4
30,place and time,place,time,Was it easy to plan the meeting?,n,Sentence (alphabetical),+ Finding a place and time for the meeting was very difficult.,nonalphabetical,Success in art depends on the right combination of time and place.,audio/prime_nonalpha/Success_in_art_depends_on_the_right_combination_of_time_and_place.wav,3,4
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (nonalphabetical),+ Jessica couldn't decide between studying sciences and arts at her time in  college.,unrelated,"The library was silent, except for the occasional sound of pages turning.","audio/prime_unrelated/The_library_was_silent,_except_for_the_occasional_sound_of_pages_turning.wav",6,4
12,development and research,development,research,Did Emily stay in her field?,n,Sentence (alphabetical),+ Emily was in development and research but eventually decided to leave.,nonalphabetical,Many years of research and development went into the company's new product.,audio/prime_nonalpha/Many_years_of_research_and_development_went_into_the_companys_new_product.wav,3,4
24,law and order,law,order,Was there chaos?,n,Sentence (alphabetical),+ There was a lack of law and order that caused some chaos.,nonalphabetical,The mayor promised to restore order and law to the troubled neighborhoods.,audio/prime_nonalpha/The_mayor_promised_to_restore_order_and_law_to_the_troubled_neighborhoods.wav,3,4
27,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,Sentence (nonalphabetical),+ The couple call each other mrs. and mr. Smith even though they aren't married.,unrelated,"They watched the fireworks explode in the night sky, their faces lit up with excitement.","audio/prime_unrelated/They_watched_the_fireworks_explode_in_the_night_sky,_their_faces_lit_up_with_excitement.wav",6,4
25,men and women,men,women,Were the people in Jen's dance class talented?,y,Sentence (nonalphabetical),+ Jen thought that the women and men in her dance class were all very talented.,alphabetical,The disparity between the wages of men and women in the workforce is a major concern for many.,audio/prime_alpha/The_disparity_between_the_wages_of_men_and_women_in_the_workforce_is_a_major_concern_for_many.wav,2,4
26,money and time,money,time,Was it an easy project?,n,Sentence (alphabetical),+ The amount of money and time required to fix it made it quite the project.,alphabetical,Managing money and time effectively is key to achieving financial goals.,audio/prime_alpha/Managing_money_and_time_effectively_is_key_to_achieving_financial_goals.wav,1,4
7,brother and sister,brother,sister,Are Paul's siblings cool?,y,Sentence (nonalphabetical),+ Paul wants to spend time with his sister and brother because they are cool.,alphabetical,The brother and sister shared a bond that no distance could weaken.,audio/prime_alpha/The_brother_and_sister_shared_a_bond_that_no_distance_could_weaken.wav,2,4
23,husband and wife,husband,wife,Was Michelle surprised by what he learned?,y,Sentence (nonalphabetical),+ Michelle was surprised to learn that the wife and husband were getting a divorce.,nonalphabetical,"The couple was too young to be wife and husband, in their parents' opinion.","audio/prime_nonalpha/The_couple_was_too_young_to_be_wife_and_husband,_in_their_parents_opinion.wav",4,4
28,north and south,north,south,Did the family stay in the same place?,n,Sentence (alphabetical),+ The family moved north and south a couple of times.,unrelated,The antique store was filled with treasures from a bygone era.,audio/prime_unrelated/The_antique_store_was_filled_with_treasures_from_a_bygone_era.wav,5,4
13,error and trial,error,trial,Was Hal still stuck on the math problem?,n,Sentence (nonalphabetical),+ Hal solved the math problem by trial and error because he was lazy.,alphabetical,Sometimes it feels like trial and error is the only way to learn.,audio/prime_alpha/Sometimes_it_feels_like_trial_and_error_is_the_only_way_to_learn.wav,2,4
4,black and white,black,white,Do Dalmations usually come in many different colors?,n,Sentence (alphabetical),+ Dalmatians found in colors other than black and white are really quite unusual.,unrelated,"He watched the rain tap against the window, lost in thought.","audio/prime_unrelated/He_watched_the_rain_tap_against_the_window,_lost_in_thought.wav",5,4
1,arms and legs,arms,legs,Did Sandra get into a bike accident?,y,Sentence (nonalphabetical),+ Sandra broke her legs and arms because she got into a bike accident.,alphabetical,When he gets upset he crosses his arms and legs in a very tense manner.,audio/prime_alpha/When_he_gets_upset_he_crosses_his_arms_and_legs_in_a_very_tense_manner.wav,2,4
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (alphabetical),+ Lilly enjoys doing arts and crafts to relax when she is stressed.,alphabetical,Arts and crafts are a wonderful way to express creativity through handmade projects.,audio/prime_alpha/Arts_and_crafts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,1,4
