Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List,RelFreq,GenPref,target_freq,prime_freq
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (alphabetical),+ Lilly enjoys doing arts and crafts to relax when she is stressed.,alphabetical,Arts and crafts are a wonderful way to express creativity through handmade projects.,audio/prime_alpha/Arts_and_crafts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,1,4,0.49524973569999997,0.6080373752,frequent,frequent
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (nonalphabetical),+ Lilly enjoys doing crafts and arts to relax when she is stressed.,alphabetical,Arts and crafts are a wonderful way to express creativity through handmade projects.,audio/prime_alpha/Arts_and_crafts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,2,5,0.49524973569999997,0.6080373752,not-frequent,frequent
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (alphabetical),+ Lilly enjoys doing arts and crafts to relax when she is stressed.,nonalphabetical,Crafts and arts are a wonderful way to express creativity through handmade projects.,audio/prime_nonalpha/Crafts_and_arts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,3,6,0.49524973569999997,0.6080373752,frequent,not-frequent
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (nonalphabetical),+ Lilly enjoys doing crafts and arts to relax when she is stressed.,nonalphabetical,Crafts and arts are a wonderful way to express creativity through handmade projects.,audio/prime_nonalpha/Crafts_and_arts_are_a_wonderful_way_to_express_creativity_through_handmade_projects.wav,4,1,0.49524973569999997,0.6080373752,not-frequent,not-frequent
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (alphabetical),+ Lilly enjoys doing arts and crafts to relax when she is stressed.,unrelated,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.","audio/prime_unrelated/She_poured_herself_a_steaming_cup_of_coffee,_savoring_the_aroma_as_it_filled_the_kitchen.wav",5,2,0.49524973569999997,0.6080373752,frequent,unrelated
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (nonalphabetical),+ Lilly enjoys doing crafts and arts to relax when she is stressed.,unrelated,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.","audio/prime_unrelated/She_poured_herself_a_steaming_cup_of_coffee,_savoring_the_aroma_as_it_filled_the_kitchen.wav",6,3,0.49524973569999997,0.6080373752,not-frequent,unrelated
24,law and order,law,order,Was there chaos?,n,Sentence (alphabetical),+ There was a lack of law and order that caused some chaos.,alphabetical,The mayor promised to restore law and order to the troubled neighborhoods.,audio/prime_alpha/The_mayor_promised_to_restore_law_and_order_to_the_troubled_neighborhoods.wav,1,2,0.4852172766,0.8870848891,frequent,frequent
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,alphabetical,The mayor promised to restore law and order to the troubled neighborhoods.,audio/prime_alpha/The_mayor_promised_to_restore_law_and_order_to_the_troubled_neighborhoods.wav,2,3,0.4852172766,0.8870848891,not-frequent,frequent
24,law and order,law,order,Was there chaos?,n,Sentence (alphabetical),+ There was a lack of law and order that caused some chaos.,nonalphabetical,The mayor promised to restore order and law to the troubled neighborhoods.,audio/prime_nonalpha/The_mayor_promised_to_restore_order_and_law_to_the_troubled_neighborhoods.wav,3,4,0.4852172766,0.8870848891,frequent,not-frequent
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,nonalphabetical,The mayor promised to restore order and law to the troubled neighborhoods.,audio/prime_nonalpha/The_mayor_promised_to_restore_order_and_law_to_the_troubled_neighborhoods.wav,4,5,0.4852172766,0.8870848891,not-frequent,not-frequent
24,law and order,law,order,Was there chaos?,n,Sentence (alphabetical),+ There was a lack of law and order that caused some chaos.,unrelated,"She took a long walk through the city, marveling at the towering skyscrapers.","audio/prime_unrelated/She_took_a_long_walk_through_the_city,_marveling_at_the_towering_skyscrapers.wav",5,6,0.4852172766,0.8870848891,frequent,unrelated
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,unrelated,"She took a long walk through the city, marveling at the towering skyscrapers.","audio/prime_unrelated/She_took_a_long_walk_through_the_city,_marveling_at_the_towering_skyscrapers.wav",6,1,0.4852172766,0.8870848891,not-frequent,unrelated
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (alphabetical),+ Jessica couldn't decide between studying arts and sciences in college.,alphabetical,A well-rounded education often includes a balance of arts and sciences.,audio/prime_alpha/A_well-rounded_education_often_includes_a_balance_of_arts_and_sciences.wav,1,5,0.4544574614,0.4933750742,frequent,frequent
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (nonalphabetical),+ Jessica couldn't decide between studying sciences and arts in college.,alphabetical,A well-rounded education often includes a balance of arts and sciences.,audio/prime_alpha/A_well-rounded_education_often_includes_a_balance_of_arts_and_sciences.wav,2,6,0.4544574614,0.4933750742,not-frequent,frequent
