Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List
21,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,Sentence (alphabetical),+ The hostess in the venue lead the gentlemen and ladies to their respective tables.,nonalphabetical,The event was attended by both ladies and gentlemen dressed in elegant attire.,audio/prime_nonalpha/The_event_was_attended_by_both_ladies_and_gentlemen_dressed_in_elegant_attire.wav,3,1
19,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,Sentence (alphabetical),"+ Growing up, Paul ate his fruits and vegetables everyday at each meal.",unrelated,"The orchestra's music filled the hall, sending chills down the audience's spines.","audio/prime_unrelated/The_orchestras_music_filled_the_hall,_sending_chills_down_the_audiences_spines.wav",5,1
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,Sentence (alphabetical),+ Although Rhonda was not Nick's blood and flesh he considered her family.,alphabetical,"The battle left marks of blood and flesh on the ground, a grim reminder of its toll.","audio/prime_alpha/The_battle_left_marks_of_blood_and_flesh_on_the_ground,_a_grim_reminder_of_its_toll.wav",1,1
15,father and son,father,son,Does Eric hate movies?,n,Sentence (alphabetical),+ Eric enjoys watching movies with his father and son so much that he goes often.,nonalphabetical,The bond between son and father grew deeper with each passing year.,audio/prime_nonalpha/The_bond_between_son_and_father_grew_deeper_with_each_passing_year.wav,3,1
30,place and time,place,time,Was it easy to plan the meeting?,n,Sentence (nonalphabetical),+ Finding a time and place for the meeting was very difficult.,unrelated,"A gentle breeze rustled the leaves, carrying the scent of jasmine through the air.","audio/prime_unrelated/A_gentle_breeze_rustled_the_leaves,_carrying_the_scent_of_jasmine_through_the_air.wav",6,1
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (alphabetical),+ Jessica couldn't decide between studying arts and sciences at her time in college.,nonalphabetical,A well-rounded education often includes a balance of sciences and arts.,audio/prime_nonalpha/A_well-rounded_education_often_includes_a_balance_of_sciences_and_arts.wav,3,1
12,development and research,development,research,Did Emily stay in her field?,n,Sentence (nonalphabetical),+ Emily was in research and development but eventually decided to leave.,unrelated,His suitcase was packed with essentials and a few souvenirs from his last adventure.,audio/prime_unrelated/His_suitcase_was_packed_with_essentials_and_a_few_souvenirs_from_his_last_adventure.wav,6,1
24,law and order,law,order,Was there chaos?,n,Sentence (nonalphabetical),+ There was a lack of order and law that caused some chaos.,unrelated,"She took a long walk through the city, marveling at the towering skyscrapers.","audio/prime_unrelated/She_took_a_long_walk_through_the_city,_marveling_at_the_towering_skyscrapers.wav",6,1
27,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,Sentence (alphabetical),+ The couple call each other mr. and mrs. Smith even though they aren't married.,nonalphabetical,"The invitation was addressed to Mrs. and Mr. Peterson, inviting them to the gala.","audio/prime_nonalpha/The_invitation_was_addressed_to_Mrs_and_Mr_Peterson,_inviting_them_to_the_gala.wav",3,1
25,men and women,men,women,Were the people in Jen's dance class talented?,y,Sentence (alphabetical),+ Jen thought that the men and women in her dance class were all very talented.,unrelated,"The cafe was cozy, with soft music playing and the smell of fresh pastries in the air.","audio/prime_unrelated/The_cafe_was_cozy,_with_soft_music_playing_and_the_smell_of_fresh_pastries_in_the_air.wav",5,1
