Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List,RelFreq,GenPref,target_freq,prime_freq
21,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,Sentence (alphabetical),+ The hostess in the venue lead the gentlemen and ladies to their respective tables.,nonalphabetical,The event was attended by both ladies and gentlemen dressed in elegant attire.,audio/prime_nonalpha/The_event_was_attended_by_both_ladies_and_gentlemen_dressed_in_elegant_attire.wav,3,1,-0.40864716032,0.5176318827,not-frequent,frequent
19,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,Sentence (alphabetical),"+ Growing up, Paul ate his fruits and vegetables everyday at each meal.",alphabetical,A healthy diet includes a balance of fruits and vegetables for essential nutrients.,audio/prime_alpha/A_healthy_diet_includes_a_balance_of_fruits_and_vegetables_for_essential_nutrients.wav,1,1,0.3501050683,0.6085325242,frequent,frequent
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,Sentence (nonalphabetical),+ Although Rhonda was not Nick's flesh and blood he considered her family.,nonalphabetical,"The battle left marks of flesh and blood on the ground, a grim reminder of its toll.","audio/prime_nonalpha/The_battle_left_marks_of_flesh_and_blood_on_the_ground,_a_grim_reminder_of_its_toll.wav",4,1,-0.47360396965,0.469076088,frequent,frequent
15,father and son,father,son,Does Eric hate movies?,n,Sentence (alphabetical),+ Eric enjoys watching movies with his father and son so much that he goes often.,alphabetical,The bond between father and son grew deeper with each passing year.,audio/prime_alpha/The_bond_between_father_and_son_grew_deeper_with_each_passing_year.wav,1,1,0.4679236355000001,0.5278980018,frequent,frequent
30,place and time,place,time,Was it easy to plan the meeting?,n,Sentence (alphabetical),+ Finding a place and time for the meeting was very difficult.,unrelated,"A gentle breeze rustled the leaves, carrying the scent of jasmine through the air.","audio/prime_unrelated/A_gentle_breeze_rustled_the_leaves,_carrying_the_scent_of_jasmine_through_the_air.wav",5,1,-0.3613230549,0.5553675804,not-frequent,unrelated
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,Sentence (alphabetical),+ Jessica couldn't decide between studying arts and sciences at her time in college.,unrelated,"The library was silent, except for the occasional sound of pages turning.","audio/prime_unrelated/The_library_was_silent,_except_for_the_occasional_sound_of_pages_turning.wav",5,1,0.4544574614,0.4933750742,frequent,unrelated
12,development and research,development,research,Did Emily stay in her field?,n,Sentence (alphabetical),+ Emily was in development and research but eventually decided to leave.,unrelated,His suitcase was packed with essentials and a few souvenirs from his last adventure.,audio/prime_unrelated/His_suitcase_was_packed_with_essentials_and_a_few_souvenirs_from_his_last_adventure.wav,5,1,-0.48074983772,0.2293127498,not-frequent,unrelated
24,law and order,law,order,Was there chaos?,n,Sentence (alphabetical),+ There was a lack of law and order that caused some chaos.,alphabetical,The mayor promised to restore law and order to the troubled neighborhoods.,audio/prime_alpha/The_mayor_promised_to_restore_law_and_order_to_the_troubled_neighborhoods.wav,1,1,0.4852172766,0.8870848891,frequent,frequent
27,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,Sentence (nonalphabetical),+ The couple call each other mrs. and mr. Smith even though they aren't married.,alphabetical,"The invitation was addressed to Mr. and Mrs. Peterson, inviting them to the gala.","audio/prime_alpha/The_invitation_was_addressed_to_Mr_and_Mrs_Peterson,_inviting_them_to_the_gala.wav",2,1,0.4980908174000001,0.6408346416,not-frequent,frequent
25,men and women,men,women,Were the people in Jen's dance class talented?,y,Sentence (alphabetical),+ Jen thought that the men and women in her dance class were all very talented.,alphabetical,The disparity between the wages of men and women in the workforce is a major concern for many.,audio/prime_alpha/The_disparity_between_the_wages_of_men_and_women_in_the_workforce_is_a_major_concern_for_many.wav,1,1,0.4064281412,0.7288977898,frequent,frequent
26,money and time,money,time,Was it an easy project?,n,Sentence (nonalphabetical),+ The amount of time and money required to fix it made it quite the project.,nonalphabetical,Managing time and money effectively is key to achieving financial goals.,audio/prime_nonalpha/Managing_time_and_money_effectively_is_key_to_achieving_financial_goals.wav,4,1,-0.3966303172,0.3490212064,frequent,frequent
7,brother and sister,brother,sister,Are Paul's siblings cool?,y,Sentence (alphabetical),+ Paul wants to spend time with his brother and sister because they are cool.,alphabetical,The brother and sister shared a bond that no distance could weaken.,audio/prime_alpha/The_brother_and_sister_shared_a_bond_that_no_distance_could_weaken.wav,1,1,0.3382719058,0.6344814705,frequent,frequent
